time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2021-01-29 09:30:00-05:00,SentimentTrader,d61c032ed78c468da47f2d342d3c0934,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,235.36079940795898,109.0,0.0
2021-02-01 09:30:00-05:00,SentimentTrader,bb5936d14570410abfe4d5a22ba91de3,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2021-02-01 09:30:00-05:00,SentimentTrader,077d6070b483457494d7b0a05d2c9fda,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2021-02-01 09:30:00-05:00,SentimentTrader,bb5936d14570410abfe4d5a22ba91de3,MSFT,buy,market,fill,1,gtc,0.0,1,stock,235.05999755859375,110.0,0.0
2021-02-22 08:30:00-05:00,SentimentTrader,077d6070b483457494d7b0a05d2c9fda,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,237.4199981689453,110.0,0.0
2021-04-01 09:30:00-04:00,SentimentTrader,b18a86e94eff48a5ad311200ad535e7c,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2021-04-01 09:30:00-04:00,SentimentTrader,de44335e0428410388b30954eb1a359c,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2021-04-01 09:30:00-04:00,SentimentTrader,b18a86e94eff48a5ad311200ad535e7c,MSFT,buy,market,fill,1,gtc,0.0,1,stock,238.47000122070312,108.0,0.0
2021-04-21 09:30:00-04:00,SentimentTrader,de44335e0428410388b30954eb1a359c,MSFT,sell,trailing_stop,canceled,1,gtc,0.0,1,stock,,,
2021-04-21 09:30:00-04:00,SentimentTrader,c45e951764f14d93af319803eca30c3b,MSFT,sell,market,new,1,day,0.0,1,stock,,,
2021-04-21 09:30:00-04:00,SentimentTrader,c45e951764f14d93af319803eca30c3b,MSFT,sell,market,fill,1,day,0.0,1,stock,258.94000244140625,108.0,0.0
2021-04-28 09:30:00-04:00,SentimentTrader,0acda50ffde54c30b7b91170df8f3d32,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
2021-04-28 09:30:00-04:00,SentimentTrader,47553b1e4ea6409183727592521d07e5,MSFT,sell,trailing_stop,new,1,gtc,0.0,1,stock,,,
2021-04-28 09:30:00-04:00,SentimentTrader,0acda50ffde54c30b7b91170df8f3d32,MSFT,buy,market,fill,1,gtc,0.0,1,stock,256.0799865722656,103.0,0.0
2021-05-04 09:30:00-04:00,SentimentTrader,47553b1e4ea6409183727592521d07e5,MSFT,sell,trailing_stop,fill,1,gtc,0.0,1,stock,248.84380828857422,103.0,0.0
2021-05-25 09:30:00-04:00,SentimentTrader,78f103249c874865a9030680b539a999,MSFT,buy,market,new,1,gtc,0.0,1,stock,,,
